UniProt_Entry	PARe.1	PARe.2	PARe.3	PARn.1	PARn.2	PARn.3	CARe.2	CARe.3	CARe.1	CARn.1	CARn.2	CARn.3	OBEe.1	OBEe.2	OBEe.3	OBEn.1	OBEn.2	OBEn.3
A0A1D8N4N1	8.22959666342565e-05	8.39594203107336e-05	0.00010380129885916	0.000101118757700539	0.000110643974747319	9.36180645191727e-05	0.000100694542633143	9.78262707275191e-05	8.27882762408765e-05	7.86721215814622e-05	8.57259283987756e-05	8.60460856368005e-05	0.000100348493516468	9.25280703699636e-05	7.93376573149574e-05	6.66259346975413e-05	8.15387800941021e-05	7.89408097787741e-05
Q6C7X6	5.58710877434664e-05	5.38949223542795e-05	5.79709446770198e-05	NA	5.3393859439801e-05	5.10501349203669e-05	3.795434482367e-05	4.51325678611829e-05	3.97817606096318e-05	3.23832311292536e-05	3.63188866042957e-05	4.024482539593e-05	3.14817581702542e-05	3.07750782833533e-05	2.96724708681456e-05	NA	1.29444961296081e-05	3.17737425294382e-05
Q6C6V9	1.05595599807647e-05	8.57824539796611e-06	8.4759970518875e-06	5.83679778897726e-05	4.94570757293995e-05	4.69984289379817e-05	7.49435022205889e-06	3.11628163840658e-06	4.45159279198244e-06	5.02462553969061e-05	3.3421386966978e-05	3.53301078515942e-05	1.15787420419218e-05	1.08685917914004e-05	1.11782625940437e-05	4.4407563965883e-05	4.44523531364758e-05	3.68237246808265e-05
Q6CD54	9.48885727967595e-06	1.38211926838166e-05	1.6150305747317e-05	NA	NA	2.75957703122933e-05	1.47311180434805e-05	1.10832876691822e-05	6.67664403863599e-06	1.44397619581747e-05	2.29804559035439e-05	1.85532663785648e-05	7.9246842065087e-06	NA	9.23405020817743e-06	NA	7.00206263261777e-06	1.60888191835703e-05
Q6C9D9	4.09198704895461e-05	4.08132193268155e-05	3.06018294720118e-05	5.83528273540165e-05	2.84797278482215e-05	4.70977641135213e-05	3.18054071866549e-05	3.38446082044827e-05	3.27929225227171e-05	7.93385523622302e-05	4.46395013979233e-05	3.76720921190849e-05	3.45190188780325e-05	3.31829824577703e-05	3.18466878245686e-05	6.83249877235438e-05	5.08519485894203e-05	3.71049773354551e-05
Q6C9D8	3.66361971338403e-05	3.57915532597363e-05	3.77943214077715e-05	6.27003749002049e-06	2.6004748326163e-05	2.25657535355025e-05	3.89835216851948e-05	3.79354680122682e-05	3.25623194817562e-05	2.42964952315083e-05	1.89284244678309e-05	3.68266774407709e-05	3.1735688488817e-05	3.07789965033751e-05	3.33310600466265e-05	NA	9.39835095180188e-06	1.81155893435051e-05
Q6CBF1	0.000179632797563528	0.000189959206186898	0.000188361474555954	0.000348371985773633	0.000353565719558883	0.00031389772189651	0.000171430833611423	0.000158239125340925	0.000154216388979919	0.000320274925432134	0.00030761918931929	0.000237956373911537	0.000186856977705362	0.00017135334146469	0.00017757545298622	0.000371339556065934	0.000314517836523199	0.00032330895163191
Q6C396	7.52165822269497e-06	1.13916939797847e-05	4.72638235248868e-06	NA	NA	6.41997108128801e-06	4.44564552002303e-06	5.89214211419611e-06	3.48354235590802e-06	NA	NA	NA	NA	1.49871890353876e-06	NA	NA	NA	NA
Q6C352	0.000270193909307042	0.0002812154500389	0.000275643711569759	0.000390678453953876	0.000403708677198949	0.000395801052920242	0.000258652500321453	0.000266702927191678	0.000258656923352661	0.000431028466773096	0.000383974974253479	0.000354208747060039	0.000294832769196127	0.000285801006984141	0.00027663385256345	0.000503888462043321	0.000458503662778585	0.000514561163037106
Q6C9G6	0.000733627789392714	0.000773469024487297	0.000823505091094865	0.000721780503196917	0.000690827076679765	0.000703155456126135	0.000822085062159784	0.000858372111402925	0.000720399448360793	0.000624042629064394	0.000675710643151102	0.000694867564094317	0.000700321756612384	0.000706140891176679	0.000693071137498768	0.00060160576653091	0.000647183547915407	0.000644511351283692
Q6BZT4	6.56759510097777e-05	6.95080398101055e-05	7.83995623361913e-05	8.88016265903887e-05	0.000107322119428296	0.000110673567947746	6.84345605290389e-05	6.86956047480152e-05	5.61546017339201e-05	8.13550827502342e-05	8.58653880315953e-05	7.66741197218249e-05	4.21840279723408e-05	4.30551916680371e-05	4.34343738600088e-05	4.72044945495103e-05	5.09233208390036e-05	7.41611109498337e-05
