"Name","Genes (tot)","Stat (dist.dir.up)","p (dist.dir.up)","p adj (dist.dir.up)","Stat (dist.dir.dn)","p (dist.dir.dn)","p adj (dist.dir.dn)","Stat (non-dir.)","p (non-dir.)","p adj (non-dir.)","Genes (up)","Stat (mix.dir.up)","p (mix.dir.up)","p adj (mix.dir.up)","Genes (down)","Stat (mix.dir.dn)","p (mix.dir.dn)","p adj (mix.dir.dn)"
"CDP biosynthetic process [GO:0046705]",6,0.66013,0.082792,0.41668,0.33987,0.91731,1,0.013071,0.38746,0.80473,2,1.6295e-06,0.34037,0.92395,4,0.019606,0.61874,0.99397
"UDP biosynthetic process [GO:0006225]",6,0.66013,0.082792,0.41668,0.33987,0.91731,1,0.013071,0.38746,0.80473,2,1.6295e-06,0.34037,0.92395,4,0.019606,0.61874,0.99397
"pyrimidine-containing compound salvage [GO:0008655]",19,0.88137,0.62834,1,0.11863,0.37176,0.76373,0.20691,0.9999,0.9999,1,0.71174,0.94011,1,18,0.17886,0.9997,1
"small molecule metabolic process [GO:0044281]",4,0.64493,0.10969,0.462,0.35507,0.89041,1,0.28987,0.9885,0.9999,2,0.57973,0.9789,1,2,8.889e-06,0.39896,0.86883
"allantoin catabolic process [GO:0000256]",3,1,0.89821,1,5.6296e-10,0.10189,0.37759,1.1259e-09,0.17108,0.49746,0,NA,NA,NA,3,1.1259e-09,0.16568,0.53484
"purine nucleobase metabolic process [GO:0006144]",6,1,0.9889,1,2.8148e-10,0.011199,0.092026,5.6296e-10,0.029997,0.14682,0,NA,NA,NA,6,5.6296e-10,0.028497,0.13892
"CTP salvage [GO:0044211]",15,0.85186,0.47005,1,0.14814,0.53005,0.88506,0.25785,0.9999,0.9999,1,0.71174,0.94011,1,14,0.22543,1,1
"UMP salvage [GO:0044206]",15,0.85186,0.47005,1,0.14814,0.53005,0.88506,0.25785,0.9999,0.9999,1,0.71174,0.94011,1,14,0.22543,1,1
"proton transmembrane transport [GO:1902600]",4,0.46827,0.016598,0.1761,0.53173,0.9835,1,0.084569,0.78712,0.9999,2,0.021103,0.48915,0.92395,2,0.14804,0.91711,1
"endocytosis [GO:0006897]",4,0.97698,0.60294,1,0.023018,0.39716,0.77385,0.046036,0.67373,0.9795,0,NA,NA,NA,4,0.046036,0.75012,1
"intracellular iron ion homeostasis [GO:0006879]",3,0.93035,0.43276,1,0.069655,0.56734,0.90983,0.13931,0.86021,0.9999,0,NA,NA,NA,3,0.13931,0.92611,1
"isoleucine biosynthetic process [GO:0009097]",13,0.85456,0.53455,1,0.14544,0.46555,0.82259,0.016812,0.25077,0.6456,2,0.10928,0.62284,0.9862,11,1e-100,9.999e-05,0.0018398
"L-leucine biosynthetic process [GO:0009098]",8,1,1,1,1e-100,0.0010999,0.017323,1e-100,0.00049995,0.0067493,0,NA,NA,NA,8,1e-100,0.00019998,0.0028305
"valine biosynthetic process [GO:0009099]",10,1,1,1,1e-100,0.00029997,0.0056694,1e-100,9.999e-05,0.0037796,0,NA,NA,NA,10,1e-100,9.999e-05,0.0018398
"GMP salvage [GO:0032263]",3,0.97874,0.53005,1,0.021261,0.47005,0.82259,0.042522,0.70423,0.98145,0,NA,NA,NA,3,0.042522,0.76202,1
"hypoxanthine metabolic process [GO:0046100]",3,0.97874,0.53005,1,0.021261,0.47005,0.82259,0.042522,0.70423,0.98145,0,NA,NA,NA,3,0.042522,0.76202,1
"IMP salvage [GO:0032264]",4,0.97322,0.58924,1,0.02678,0.41086,0.78437,0.053559,0.70153,0.98145,0,NA,NA,NA,4,0.053559,0.77352,1
"XMP salvage [GO:0032265]",3,0.97874,0.53005,1,0.021261,0.47005,0.82259,0.042522,0.70423,0.98145,0,NA,NA,NA,3,0.042522,0.76202,1
"aspartate transmembrane transport [GO:0015810]",5,0.6,0.089191,0.41668,0.4,0.91641,1,1e-100,0.0054995,0.037121,2,1e-100,0.23058,0.92395,3,1e-100,0.036996,0.13892
"L-glutamate transmembrane transport [GO:0015813]",5,0.6,0.089191,0.41668,0.4,0.91641,1,1e-100,0.0054995,0.037121,2,1e-100,0.23058,0.92395,3,1e-100,0.036996,0.13892
"malate-aspartate shuttle [GO:0043490]",5,0.6,0.089191,0.41668,0.4,0.91641,1,1e-100,0.0054995,0.037121,2,1e-100,0.23058,0.92395,3,1e-100,0.036996,0.13892
"amino acid transmembrane transport [GO:0003333]",8,0.37496,0.00029997,0.0080992,0.62504,0.9998,1,0.0044037,0.18448,0.52137,5,0.0034667,0.11909,0.92395,3,0.0059656,0.50855,0.97913
"peroxisome organization [GO:0007031]",12,0.99392,0.9553,1,0.0060833,0.044796,0.2695,0.012167,0.21198,0.57234,0,NA,NA,NA,12,0.012167,0.31107,0.81767
