"Name","Genes (tot)","Stat (dist.dir.up)","p (dist.dir.up)","p adj (dist.dir.up)","Stat (dist.dir.dn)","p (dist.dir.dn)","p adj (dist.dir.dn)","Stat (non-dir.)","p (non-dir.)","p adj (non-dir.)","Genes (up)","Stat (mix.dir.up)","p (mix.dir.up)","p adj (mix.dir.up)","Genes (down)","Stat (mix.dir.dn)","p (mix.dir.dn)","p adj (mix.dir.dn)"
"phosphoric diester hydrolase activity [GO:0008081]",8,0.66187,0.87391,1,0.33813,0.12619,0.37639,0.60436,0.76352,1,3,0.90414,0.9923,0.9994,5,0.42449,0.23198,0.86099
"monoatomic cation transmembrane transporter activity [GO:0008324]",6,0.70637,0.91851,1,0.29363,0.081592,0.28231,0.58727,0.68223,1,0,NA,NA,NA,6,0.58727,0.74953,1
"metal ion transmembrane transporter activity [GO:0046873]",5,0.79203,0.9834,1,0.20797,0.016698,0.086233,0.41594,0.15278,0.66356,0,NA,NA,NA,5,0.41594,0.20838,0.82461
"metal ion transport [GO:0030001]",5,0.87019,0.9995,1,0.12981,0.00059994,0.0090252,0.25962,0.0048995,0.10379,0,NA,NA,NA,5,0.25962,0.0094991,0.19315
"endomembrane system [GO:0012505]",64,0.70693,1,1,0.29307,9.999e-05,0.0024712,0.48337,0.044896,0.36811,11,0.70107,0.9513,0.9994,53,0.43819,0.013799,0.21737
"phosphoprotein phosphatase activity [GO:0004721]",22,0.626,0.88761,1,0.374,0.11249,0.34959,0.62571,0.94461,1,5,0.73096,0.92251,0.9994,17,0.59475,0.89981,1
"protein serine/threonine phosphatase activity [GO:0004722]",18,0.65976,0.9535,1,0.34024,0.046595,0.18602,0.63149,0.93571,1,3,0.853,0.9742,0.9994,15,0.58718,0.85521,1
"myosin phosphatase activity [GO:0017018]",13,0.61708,0.79312,1,0.38292,0.20698,0.52501,0.70557,0.9914,1,2,0.80415,0.89391,0.9994,11,0.68765,0.985,1
"calmodulin-dependent protein phosphatase activity [GO:0033192]",13,0.61708,0.79312,1,0.38292,0.20698,0.52501,0.70557,0.9914,1,2,0.80415,0.89391,0.9994,11,0.68765,0.985,1
"histone H2AXS140 phosphatase activity [GO:0140791]",13,0.61708,0.79312,1,0.38292,0.20698,0.52501,0.70557,0.9914,1,2,0.80415,0.89391,0.9994,11,0.68765,0.985,1
"RNA polymerase II CTD heptapeptide repeat Y1 phosphatase activity [GO:0180004]",13,0.61708,0.79312,1,0.38292,0.20698,0.52501,0.70557,0.9914,1,2,0.80415,0.89391,0.9994,11,0.68765,0.985,1
"RNA polymerase II CTD heptapeptide repeat T4 phosphatase activity [GO:0180005]",13,0.61708,0.79312,1,0.38292,0.20698,0.52501,0.70557,0.9914,1,2,0.80415,0.89391,0.9994,11,0.68765,0.985,1
"RNA polymerase II CTD heptapeptide repeat S2 phosphatase activity [GO:0180006]",13,0.61708,0.79312,1,0.38292,0.20698,0.52501,0.70557,0.9914,1,2,0.80415,0.89391,0.9994,11,0.68765,0.985,1
"RNA polymerase II CTD heptapeptide repeat S5 phosphatase activity [GO:0180007]",13,0.61708,0.79312,1,0.38292,0.20698,0.52501,0.70557,0.9914,1,2,0.80415,0.89391,0.9994,11,0.68765,0.985,1
"RNA polymerase II CTD heptapeptide repeat S7 phosphatase activity [GO:0180008]",13,0.61708,0.79312,1,0.38292,0.20698,0.52501,0.70557,0.9914,1,2,0.80415,0.89391,0.9994,11,0.68765,0.985,1
"MAP kinase serine/threonine phosphatase activity [GO:1990439]",13,0.61708,0.79312,1,0.38292,0.20698,0.52501,0.70557,0.9914,1,2,0.80415,0.89391,0.9994,11,0.68765,0.985,1
"regulation of transcription by RNA polymerase II [GO:0006357]",127,0.54439,0.27307,0.88856,0.45561,0.72703,1,0.61186,0.9997,1,50,0.6198,0.91221,0.9994,77,0.6067,0.9994,1
"P-type ion transporter activity [GO:0015662]",7,0.86699,0.9999,1,0.13301,0.00019998,0.0041516,0.26602,0.0013999,0.053817,0,NA,NA,NA,7,0.26602,0.0042996,0.12962
