"Name","Genes (tot)","Stat (dist.dir.up)","p (dist.dir.up)","p adj (dist.dir.up)","Stat (dist.dir.dn)","p (dist.dir.dn)","p adj (dist.dir.dn)","Stat (non-dir.)","p (non-dir.)","p adj (non-dir.)","Genes (up)","Stat (mix.dir.up)","p (mix.dir.up)","p adj (mix.dir.up)","Genes (down)","Stat (mix.dir.dn)","p (mix.dir.dn)","p adj (mix.dir.dn)"
"unsaturated fatty acid biosynthetic process [GO:0006636]",3,0.66667,0.54675,1,0.33333,0.48005,0.86459,1e-100,0.026597,0.12261,1,1e-100,0.16308,0.4813,2,1e-100,0.11479,0.49835
"long-chain fatty acid metabolic process [GO:0001676]",27,0.39932,0.00089991,0.018898,0.60068,0.9992,1,0.24851,0.91421,1,19,0.32298,0.94591,0.9989,8,0.071649,0.19198,0.67005
"long-chain fatty-acyl-CoA metabolic process [GO:0035336]",17,0.4748,0.036896,0.22146,0.5252,0.9632,1,0.075853,0.064594,0.27746,9,0.07959,0.094191,0.40704,8,0.071649,0.19198,0.67005
"long-chain fatty acid import into cell [GO:0044539]",10,0.27101,0.0024998,0.047245,0.72899,0.9976,1,0.54202,0.9998,1,10,0.54202,0.9989,0.9989,0,NA,NA,NA
"long-chain fatty acid import into peroxisome [GO:0015910]",11,0.43006,0.033997,0.2167,0.56994,0.9661,1,0.17898,0.55444,1,7,0.245,0.64414,0.9989,4,0.063445,0.31707,0.81794
"very long-chain fatty acid catabolic process [GO:0042760]",11,0.43006,0.033997,0.2167,0.56994,0.9661,1,0.17898,0.55444,1,7,0.245,0.64414,0.9989,4,0.063445,0.31707,0.81794
"acyl-CoA metabolic process [GO:0006637]",10,0.31083,0.0055994,0.086223,0.68917,0.9945,1,0.38114,0.9805,1,8,0.37674,0.92711,0.9989,2,0.39871,0.86831,1
"fatty acid catabolic process [GO:0009062]",11,0.36873,0.011499,0.10866,0.63127,0.9886,1,0.35599,0.9748,1,8,0.37674,0.92711,0.9989,3,0.30065,0.81212,1
"L-histidine biosynthetic process [GO:0000105]",9,1,1,1,1e-100,9.999e-05,0.0075592,1e-100,9.999e-05,0.0037796,0,NA,NA,NA,9,1e-100,0.00029997,0.010679
"protein glycosylation [GO:0006486]",13,0.59982,0.31067,0.93201,0.40018,0.68943,1,0.56583,1,1,4,0.61889,0.9889,0.9989,9,0.54224,0.9997,1
