"Name","Genes (tot)","Stat (dist.dir.up)","p (dist.dir.up)","p adj (dist.dir.up)","Stat (dist.dir.dn)","p (dist.dir.dn)","p adj (dist.dir.dn)","Stat (non-dir.)","p (non-dir.)","p adj (non-dir.)","Genes (up)","Stat (mix.dir.up)","p (mix.dir.up)","p adj (mix.dir.up)","Genes (down)","Stat (mix.dir.dn)","p (mix.dir.dn)","p adj (mix.dir.dn)"
"pyrimidine-containing compound salvage [GO:0008655]",14,0.64335,0.24518,0.67784,0.35665,0.75492,1,0.45488,0.9999,0.9999,4,0.54777,0.9681,0.9993,10,0.41773,0.9986,1
"small molecule metabolic process [GO:0044281]",4,0.5025,0.16748,0.56758,0.4975,0.83272,1,0.0050069,0.15988,0.37511,2,0.010014,0.25787,0.74417,2,1.1831e-56,0.17338,0.43974
"allantoin catabolic process [GO:0000256]",3,1,1,1,1e-100,0.050595,0.27695,3.0366e-99,0.046995,0.15088,0,NA,NA,NA,3,3.0366e-99,0.051395,0.18355
"purine nucleobase metabolic process [GO:0006144]",6,0.83115,0.76122,1,0.16885,0.23888,0.62684,0.004367,0.064894,0.19793,1,1e-100,0.27267,0.74417,5,0.0052404,0.14219,0.38879
"CTP salvage [GO:0044211]",10,0.54682,0.10099,0.47183,0.45318,0.89911,1,0.54458,0.9999,0.9999,4,0.54777,0.9681,0.9993,6,0.54245,0.9995,1
"UMP salvage [GO:0044206]",10,0.54682,0.10099,0.47183,0.45318,0.89911,1,0.54458,0.9999,0.9999,4,0.54777,0.9681,0.9993,6,0.54245,0.9995,1
"proton transmembrane transport [GO:1902600]",4,0.49936,0.13909,0.49267,0.50064,0.86101,1,0.001274,0.13899,0.33466,2,1e-100,0.077692,0.4223,2,0.002548,0.43316,0.81508
"endocytosis [GO:0006897]",4,0.56691,0.24638,0.67784,0.43309,0.75372,1,0.37753,0.92471,0.9999,1,0.022691,0.52815,0.9993,3,0.49581,0.9743,1
"intracellular iron ion homeostasis [GO:0006879]",3,0.63534,0.29637,0.74296,0.36466,0.70373,1,0.50322,0.9628,0.9999,1,0.66085,0.84192,0.9993,2,0.4244,0.90891,1
"isoleucine biosynthetic process [GO:0009097]",13,0.84615,0.89121,1,0.15385,0.10889,0.43766,2.9607e-19,9.999e-05,0.0045745,2,1.9245e-18,0.13059,0.51839,11,1e-100,9.999e-05,0.0058328
