"Name","Genes (tot)","Stat (dist.dir.up)","p (dist.dir.up)","p adj (dist.dir.up)","Stat (dist.dir.dn)","p (dist.dir.dn)","p adj (dist.dir.dn)","Stat (non-dir.)","p (non-dir.)","p adj (non-dir.)","Genes (up)","Stat (mix.dir.up)","p (mix.dir.up)","p adj (mix.dir.up)","Genes (down)","Stat (mix.dir.dn)","p (mix.dir.dn)","p adj (mix.dir.dn)"
"L-leucine biosynthetic process [GO:0009098]",8,1,1,1,1e-100,0.00049995,0.015248,1e-100,0.00029997,0.0091491,0,NA,NA,NA,8,1e-100,0.0027997,0.053195
"valine biosynthetic process [GO:0009099]",10,1,1,1,1e-100,9.999e-05,0.0060994,1e-100,9.999e-05,0.0045745,0,NA,NA,NA,10,1e-100,0.00069993,0.019948
"GMP salvage [GO:0032263]",3,0.49923,0.39676,0.86059,0.50077,0.60334,1,0.33677,0.90461,1,2,0.50143,0.94911,1,1,0.0074621,0.68813,0.9796
"hypoxanthine metabolic process [GO:0046100]",3,0.49923,0.39676,0.86059,0.50077,0.60334,1,0.33677,0.90461,1,2,0.50143,0.94911,1,1,0.0074621,0.68813,0.9796
"IMP salvage [GO:0032264]",4,0.37579,0.20948,0.59984,0.62421,0.79062,1,0.25532,0.83232,1,3,0.33794,0.85991,1,1,0.0074621,0.68813,0.9796
"XMP salvage [GO:0032265]",3,0.49923,0.39676,0.86059,0.50077,0.60334,1,0.33677,0.90461,1,2,0.50143,0.94911,1,1,0.0074621,0.68813,0.9796
"aspartate transmembrane transport [GO:0015810]",5,0.2,0.025297,0.14934,0.8,0.9757,1,6.3259e-19,0.023898,0.14107,4,7.9073e-19,0.015298,0.16267,1,1e-100,0.47195,0.88686
"L-glutamate transmembrane transport [GO:0015813]",5,0.2,0.025297,0.14934,0.8,0.9757,1,6.3259e-19,0.023898,0.14107,4,7.9073e-19,0.015298,0.16267,1,1e-100,0.47195,0.88686
"malate-aspartate shuttle [GO:0043490]",5,0.2,0.025297,0.14934,0.8,0.9757,1,6.3259e-19,0.023898,0.14107,4,7.9073e-19,0.015298,0.16267,1,1e-100,0.47195,0.88686
"amino acid transmembrane transport [GO:0003333]",8,0.64727,0.68963,1,0.35273,0.31047,0.81165,0.069142,0.24428,0.54515,3,0.15157,0.49035,0.94739,5,0.019687,0.25007,0.688
"peroxisome organization [GO:0007031]",12,0.17713,0.0010999,0.028754,0.82287,0.999,1,0.17181,0.70733,1,10,0.11564,0.28937,0.80995,2,0.45263,0.94781,1
"mitochondrial citrate transmembrane transport [GO:0006843]",3,1.0195e-52,0.0027997,0.032022,1,1,1,2.0391e-52,0.064994,0.19605,3,2.0391e-52,0.026097,0.21168,0,NA,NA,NA
"mitochondrial genome maintenance [GO:0000002]",6,0.65648,0.65603,1,0.34352,0.34407,0.84733,0.25931,0.87211,1,2,0.35841,0.81742,1,4,0.20976,0.79312,0.98526
