"Name","Genes (tot)","Stat (dist.dir.up)","p (dist.dir.up)","p adj (dist.dir.up)","Stat (dist.dir.dn)","p (dist.dir.dn)","p adj (dist.dir.dn)","Stat (non-dir.)","p (non-dir.)","p adj (non-dir.)","Genes (up)","Stat (mix.dir.up)","p (mix.dir.up)","p adj (mix.dir.up)","Genes (down)","Stat (mix.dir.dn)","p (mix.dir.dn)","p adj (mix.dir.dn)"
"myosin phosphatase activity [GO:0017018]",14,0.53301,0.89591,1,0.46699,0.10419,0.43918,0.91251,0.88051,0.98769,3,0.94991,0.92441,1,11,0.90231,0.79552,0.98981
"calmodulin-dependent protein phosphatase activity [GO:0033192]",14,0.53301,0.89591,1,0.46699,0.10419,0.43918,0.91251,0.88051,0.98769,3,0.94991,0.92441,1,11,0.90231,0.79552,0.98981
"histone H2AXS140 phosphatase activity [GO:0140791]",14,0.53301,0.89591,1,0.46699,0.10419,0.43918,0.91251,0.88051,0.98769,3,0.94991,0.92441,1,11,0.90231,0.79552,0.98981
"RNA polymerase II CTD heptapeptide repeat Y1 phosphatase activity [GO:0180004]",14,0.53301,0.89591,1,0.46699,0.10419,0.43918,0.91251,0.88051,0.98769,3,0.94991,0.92441,1,11,0.90231,0.79552,0.98981
"RNA polymerase II CTD heptapeptide repeat T4 phosphatase activity [GO:0180005]",14,0.53301,0.89591,1,0.46699,0.10419,0.43918,0.91251,0.88051,0.98769,3,0.94991,0.92441,1,11,0.90231,0.79552,0.98981
"RNA polymerase II CTD heptapeptide repeat S2 phosphatase activity [GO:0180006]",14,0.53301,0.89591,1,0.46699,0.10419,0.43918,0.91251,0.88051,0.98769,3,0.94991,0.92441,1,11,0.90231,0.79552,0.98981
"RNA polymerase II CTD heptapeptide repeat S5 phosphatase activity [GO:0180007]",14,0.53301,0.89591,1,0.46699,0.10419,0.43918,0.91251,0.88051,0.98769,3,0.94991,0.92441,1,11,0.90231,0.79552,0.98981
"RNA polymerase II CTD heptapeptide repeat S7 phosphatase activity [GO:0180008]",14,0.53301,0.89591,1,0.46699,0.10419,0.43918,0.91251,0.88051,0.98769,3,0.94991,0.92441,1,11,0.90231,0.79552,0.98981
"MAP kinase serine/threonine phosphatase activity [GO:1990439]",14,0.53301,0.89591,1,0.46699,0.10419,0.43918,0.91251,0.88051,0.98769,3,0.94991,0.92441,1,11,0.90231,0.79552,0.98981
"regulation of transcription by RNA polymerase II [GO:0006357]",121,0.51626,0.76592,1,0.48374,0.23418,0.57825,0.90636,0.9939,0.99736,47,0.92132,0.9891,1,74,0.89685,0.92411,0.99883
"P-type ion transporter activity [GO:0015662]",6,0.55299,0.94701,1,0.44701,0.053095,0.31588,0.89403,0.51395,0.89135,0,NA,NA,NA,6,0.89403,0.60954,0.96571
"ATPase-coupled monoatomic cation transmembrane transporter activity [GO:0019829]",6,0.55299,0.94701,1,0.44701,0.053095,0.31588,0.89403,0.51395,0.89135,0,NA,NA,NA,6,0.89403,0.60954,0.96571
"monoatomic cation transmembrane transport [GO:0098655]",8,0.53119,0.80712,1,0.46881,0.19298,0.56161,0.91513,0.84012,0.98769,2,0.955,0.88801,1,6,0.90184,0.72043,0.98915
"inorganic cation transmembrane transport [GO:0098662]",5,0.55005,0.91591,1,0.44995,0.084192,0.40121,0.8999,0.59214,0.93864,0,NA,NA,NA,5,0.8999,0.66753,0.98375
"glycerophospholipid biosynthetic process [GO:0046474]",5,0.56535,0.9774,1,0.43465,0.022698,0.21771,0.86931,0.20578,0.74367,0,NA,NA,NA,5,0.86931,0.26957,0.77388
"zinc ion binding [GO:0008270]",106,0.51038,0.38276,1,0.48962,0.61734,0.91211,0.88804,0.23578,0.77314,46,0.89492,0.23908,1,60,0.88277,0.34697,0.84833
"vacuole fusion, non-autophagic [GO:0042144]",9,0.50033,0.27627,1,0.49967,0.72383,0.9699,0.93866,0.989,0.99736,5,0.94538,0.9523,1,4,0.93026,0.92001,0.99883
"DNA binding [GO:0003677]",153,0.51154,0.44636,1,0.48846,0.55374,0.86992,0.89403,0.61184,0.9453,65,0.90244,0.56364,1,88,0.88782,0.60324,0.96571
