Entry;log2FC;adj_p_value
r_3529;-2.84676760994705;3.00901940586954e-63
r_353;-1.34826597563896;0
r_3530;-2.84676760994705;3.00901940586954e-63
r_3531;-1.38745829951926;0
r_3532;-1.38745829951926;0
r_3533;-1.38745829951926;0
r_3534;3.36693607344198;0
r_3535;NaN;NaN
r_3536;-1.87573621995739;5.95249088466283e-70
r_3537;-0.0380022100956824;0.7186607785829
r_3538;-1.69633825188829;0
r_3539;-3.59535092133382;2.85207290338576e-112
r_354;NaN;NaN
r_3540;-1.3568303076102;0
r_3541;NaN;NaN
r_3542;-1.80126844545054;1.35520459525516e-06
r_3543;-2.41825861194893;6.34228813458101e-31
r_3544;-2.41825861194893;6.34228813458101e-31
r_3545;-1.3482660121882;0
r_3546;-1.3482660028607;0
r_3547;-1.34826606845049;0
r_3548;-1.34826606845049;0
r_3549;NaN;NaN
r_355;-1.34461524384221;0
r_3550;NaN;NaN
r_3551;NaN;NaN
r_3552;-2.94819204843815;1.89616002761555e-27
r_3553;-2.17077470200773;0.000782436033388604
r_3554g;-0.370609842951088;0.0550939271626571
r_356;NaN;NaN
r_3562g;-2.42851435680028;0.0217959322074722
r_357;-5.02778418224505;0.000124257486765901
r_3570;-2.12934710143448;1.19546005278883e-07
r_3571;-2.08646625243306;6.11595094525658e-10
r_3572;-2.95783866296727;3.59779613440593e-19
r_3573;-0.310592048735398;4.32783048231737e-41
r_3574;-2.4953394952931;5.64793847016276e-17
r_3575;-2.90209667890739;0.000311538484865633
r_3576;-0.0289461396732041;0.973450811604666
r_3577;-2.7161637595767;1.77363045788432e-281
r_3578;1.35339868344475;0.134746666629077
r_3579;-1.784549579357;0
r_358;-Inf;0.000300216683785624
r_3580;-2.5354036117138;2.19770604695418e-290
r_3581;-2.01455310950633;0
r_3582;NaN;NaN
r_3583;NaN;NaN
r_3584;NaN;NaN
r_3585;-2.76897216171931;4.9842816052742e-37
r_3586;-2.76897216171931;4.9842816052742e-37
r_3587;-2.75372535224065;6.69687572333127e-37
r_3588g;-0.706842756659109;4.79013556756873e-62
