"Name","Genes (tot)","Stat (dist.dir.up)","p (dist.dir.up)","p adj (dist.dir.up)","Stat (dist.dir.dn)","p (dist.dir.dn)","p adj (dist.dir.dn)","Stat (non-dir.)","p (non-dir.)","p adj (non-dir.)","Genes (up)","Stat (mix.dir.up)","p (mix.dir.up)","p adj (mix.dir.up)","Genes (down)","Stat (mix.dir.dn)","p (mix.dir.dn)","p adj (mix.dir.dn)"
"U4/U6 x U5 tri-snRNP complex [GO:0046540]",14,0.44289,0.090891,0.62839,0.55711,0.90921,1,0.42888,0.94351,1,7,0.31466,0.44126,1,7,0.54311,0.9903,1
"catalytic step 2 spliceosome [GO:0071013]",31,0.52561,0.21158,0.87212,0.47439,0.78852,1,0.41867,0.9867,1,15,0.45222,0.93741,1,16,0.38723,0.92951,1
"post-mRNA release spliceosomal complex [GO:0071014]",23,0.6285,0.75252,1,0.3715,0.24758,0.56477,0.39798,0.93741,1,8,0.50404,0.94581,1,15,0.34142,0.79512,1
"ATPase-coupled transmembrane transporter activity [GO:0042626]",14,0.82775,0.997,1,0.17225,0.0030997,0.039831,0.32444,0.60354,1,2,0.92979,0.9967,1,12,0.22354,0.21208,0.8303
"ABC-type transporter activity [GO:0140359]",17,0.85066,0.9995,1,0.14934,0.00059994,0.015418,0.28215,0.37116,0.99647,2,0.92979,0.9967,1,15,0.1958,0.086491,0.59258
"fatty acid beta-oxidation [GO:0006635]",12,0.22783,0.00029997,0.030837,0.77217,0.9998,1,0.19008,0.060394,0.54942,10,0.18745,0.036196,0.7177,2,0.20326,0.40476,1
"peroxisome organization [GO:0007031]",17,0.34722,0.0049995,0.14684,0.65278,0.9951,1,0.28802,0.40716,1,10,0.13509,0.0048995,0.25804,7,0.50649,0.977,1
"peroxisomal membrane [GO:0005778]",28,0.34879,0.00089991,0.046255,0.65121,0.9992,1,0.31494,0.58094,1,18,0.23196,0.051995,0.7627,10,0.46431,0.973,1
"peptidase activity [GO:0008233]",14,0.50669,0.23238,0.87955,0.49331,0.76772,1,0.26142,0.27607,0.93367,6,0.15394,0.043596,0.73801,8,0.34203,0.73523,1
"extracellular space [GO:0005615]",11,0.62025,0.64184,1,0.37975,0.35826,0.71793,0.39887,0.85581,1,4,0.50413,0.86911,1,7,0.33873,0.70693,1
"magnesium ion binding [GO:0000287]",46,0.59151,0.60714,1,0.40849,0.39296,0.75791,0.2541,0.089091,0.6029,19,0.31862,0.40016,1,27,0.20869,0.055194,0.44228
"endonuclease activity [GO:0004519]",14,0.66757,0.82052,1,0.33243,0.17958,0.46975,0.40347,0.89751,1,4,0.54258,0.91361,1,10,0.34783,0.77322,1
"cytosolic ribosome assembly [GO:0042256]",6,0.74519,0.86251,1,0.25481,0.13759,0.39954,0.19381,0.15478,0.76869,1,0.052542,0.14289,1,5,0.22206,0.32787,1
"N,N-dimethylaniline monooxygenase activity [GO:0004499]",5,0.37037,0.11039,0.66753,0.62963,0.88971,1,0.08316,0.014199,0.27411,3,0.019921,0.00069993,0.073726,2,0.17802,0.35126,1
"flavin adenine dinucleotide binding [GO:0050660]",33,0.45743,0.031797,0.35147,0.54257,0.9683,1,0.22108,0.028297,0.37261,20,0.28715,0.21468,1,13,0.11943,0.0033997,0.13211
"NADP binding [GO:0050661]",17,0.39247,0.019698,0.26298,0.60753,0.9804,1,0.14101,0.0023998,0.098678,11,0.17004,0.016998,0.47395,6,0.087768,0.012199,0.22089
"protein-macromolecule adaptor activity [GO:0030674]",22,0.54231,0.33067,0.97141,0.45769,0.66943,1,0.26349,0.23068,0.88346,10,0.28292,0.28607,1,12,0.2473,0.32417,0.99911
"identical protein binding [GO:0042802]",34,0.59966,0.63114,1,0.40034,0.36896,0.73223,0.24198,0.079992,0.6029,12,0.2085,0.050995,0.7627,22,0.26024,0.33087,1
"ubiquitin binding [GO:0043130]",27,0.47736,0.077892,0.61595,0.52264,0.92221,1,0.32667,0.65773,1,16,0.39367,0.79312,1,11,0.22921,0.24468,0.86749
"regulation of actin filament polymerization [GO:0030833]",7,0.54199,0.39516,1,0.45801,0.60494,0.9633,0.17528,0.090891,0.6029,3,0.13581,0.10539,0.9792,4,0.20488,0.29787,0.96718
"endosome membrane [GO:0010008]",22,0.49881,0.16408,0.77163,0.50119,0.83602,1,0.27755,0.31647,0.96824,12,0.33557,0.51475,1,10,0.20792,0.17688,0.78917
"actin cortical patch [GO:0030479]",31,0.67822,0.94411,1,0.32178,0.055994,0.25835,0.32252,0.62704,1,9,0.44709,0.87511,1,22,0.27156,0.40566,1
