Entry;subSystem
"LPI phospholipase B";Glycerophospholipid metabolism
"cystathionine b-lyase";Cysteine and methionine metabolism
"PI 4,5-P2 phospholipase C";Inositol phosphate metabolism
"cystathionine beta-synthase";Glycine, serine and threonine metabolism
"PI 4,5-P2 phospholipase C";Inositol phosphate metabolism
"PG phospholipase C";Glycerophospholipid metabolism
"cystathionine g-lyase";Glycine, serine and threonine metabolism
"PC phospholipase D";Glycerophospholipid metabolism
"cystathionine gamma-synthase";Cysteine and methionine metabolism
"PI 3-P phosphatase";Inositol phosphate metabolism
"cysteine synthase";Cysteine and methionine metabolism
"PI 3-P phosphatase";Inositol phosphate metabolism
"PI 3-P phosphatase";Inositol phosphate metabolism
"cysteinyl-tRNA synthetase";Aminoacyl-tRNA biosynthesis
"PI 3-P phosphatase";Inositol phosphate metabolism
"cytidine deaminase";Pyrimidine metabolism
"PI 4-P phosphatase";Inositol phosphate metabolism
"cytidine kinase (GTP)";Pyrimidine metabolism
"PI 4-P phosphatase";Inositol phosphate metabolism
"PI 4-P phosphatase";Inositol phosphate metabolism
"PI 4-P phosphatase";Inositol phosphate metabolism
"cytochrome P450 lanosterol 14-alpha-demethylase (NADP)";Steroid biosynthesis
"PI 3,5-P2 phosphatase";Inositol phosphate metabolism
"cytosine deaminase";Pyrimidine metabolism
"PI 3,5-P2 phosphatase";Inositol phosphate metabolism
"D-arabinono-1,4-lactone oxidase";Pentose and glucuronate interconversions
"PI 4,5-P2 phosphatase";Inositol phosphate metabolism
"3',5'-bisphosphate nucleotidase";Sulfur metabolism
"D-arabinose 1-dehydrogenase (NAD)";Pentose and glucuronate interconversions
"PI 4,5-P2 phosphatase";Inositol phosphate metabolism
"PI 4,5-P2 phosphatase";Inositol phosphate metabolism
"D-arabinose 1-dehydrogenase (NADP)";Pentose and glucuronate interconversions
"PI 3,5-P2 phosphatase";Inositol phosphate metabolism
"D-fructose 1-phosphate D-glyceraldehyde-3-phosphate-lyase";Fructose and mannose metabolism
"DGPP phosphatase";Glycerolipid metabolism
"D-sorbitol dehydrogenase (D-fructose producing)";Fructose and mannose metabolism
"DGPP phosphatase";
"lysoPA phosphatase, cytoplasm";
"lysoPA phosphatase, vacuolar membrane";
"lysoPA phosphatase, Golgi membrane";
"ergosteryl ester hydrolase (16:1), lipid particle";Steroid biosynthesis
"ergosteryl ester hydrolase (18:1), lipid particle";Steroid biosynthesis
"episteryl ester hydrolase (16:1), lipid particle";Steroid biosynthesis
"episteryl ester hydrolase (18:1), lipid particle";Steroid biosynthesis
"fecosteryl ester hydrolase (16:1), lipid particle";Steroid biosynthesis
"fecosteryl ester hydrolase (18:1), lipid particle";Steroid biosynthesis
"lanosteryl ester hydrolase (16:1), lipid particle";Steroid biosynthesis
"lanosteryl ester hydrolase (18:1), lipid particle";Steroid biosynthesis
"dCMP deaminase";Pyrimidine metabolism
"zymosteryl ester hydrolase (16:1), lipid particle";Steroid biosynthesis
"zymosteryl ester hydrolase (18:1), lipid particle";Steroid biosynthesis
"zymosteryl ester hydrolase (16:1), cell envelope";Steroid biosynthesis
"zymosteryl ester hydrolase (18:1), cell envelope";Steroid biosynthesis
"dCTP deaminase";Pyrimidine metabolism
"deoxycytidine deaminase";Pyrimidine metabolism
"DAG lipase, lipid particle";Glycerolipid metabolism
"3',5'-cyclic-nucleotide phosphodiesterase";Purine metabolism
"deoxyguanylate kinase (dGMP:ATP)";Purine metabolism
"DAG lipase, mitochondrion";Glycerolipid metabolism
"MAG lipase";Glycerolipid metabolism
"deoxyhypusine synthase, cytosolic/mitochondrial";beta-Alanine metabolism
"lysoPE acyltransferase, lipid particle";
"PC phospholipase A2, lipid particle";
"deoxyribokinase";Pentose phosphate pathway
"PE phospholipase A2, lipid particle";
"deoxyuridine phosphorylase";Pyrimidine metabolism
"PA kinase, Golgi membrane";
"dephospho-CoA kinase";Pantothenate and CoA biosynthesis
"PA kinase, vacuolar membrane";
"dethiobiotin synthase";Biotin metabolism
"diacylglycerol acyltransferase";Glycerolipid metabolism
"diacylglycerol acyltransferase";Glycerolipid metabolism
"diacylglycerol pyrophosphate phosphatase";Glycerolipid metabolism
"diacylglycerol pyrophosphate phosphatase";Glycerolipid metabolism
"diacylglycerol pyrophosphate phosphatase";Glycerolipid metabolism
"3',5'-cyclic-nucleotide phosphodiesterase";Purine metabolism
"dihydroceramidase";Sphingolipid metabolism
"dihydroceramidase";Sphingolipid metabolism
"dihydroceramidase";Sphingolipid metabolism
"dihydroceramidase";Sphingolipid metabolism
"dihydrofolate reductase";Folate biosynthesis
"dihydrofolate reductase";Folate biosynthesis
"dihydrofolate synthase";Folate biosynthesis
"dihydroneopterin aldolase";Folate biosynthesis
"dihydroneopterin monophosphate dephosphorylase";Folate biosynthesis
"dihydroorotase";Pyrimidine metabolism
"3',5'-cyclic-nucleotide phosphodiesterase";Purine metabolism
"dihydropteroate synthase";Folate biosynthesis
"laurate transport, cytoplasm-ER membrane";Transport, ER membrane
"myristate transport, cytoplasm-ER membrane";Transport, ER membrane
"dihydropteroate synthase";Folate biosynthesis
"palmitate transport, cytoplasm-ER membrane";Transport, ER membrane
"palmitoleate transport, cytoplasm-ER membrane";Transport, ER membrane
"stearate transport, cytoplasm-ER membrane";Transport, ER membrane
"oleate transport, cytoplasm-ER membrane";Transport, ER membrane
"malonyl-CoA transport, cytoplasm-ER membrane";Transport, ER membrane
"lauroyl-CoA transport, cytoplasm-ER membrane";Transport, ER membrane
"myristoyl-CoA transport, cytoplasm-ER membrane";Transport, ER membrane
"palmitoyl-CoA transport, cytoplasm-ER membrane";Transport, ER membrane
"palmitoleoyl-CoA transport, cytoplasm-ER membrane";Transport, ER membrane
"stearoyl-CoA transport, cytoplasm-ER membrane";Transport, ER membrane
"dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)";Valine, leucine and isoleucine biosynthesis
"oleoyl-CoA transport, cytoplasm-ER membrane";Transport, ER membrane
"icosanoyl-CoA transport, cytoplasm-ER membrane";Transport, ER membrane
"docosanoyl-CoA transport, cytoplasm-ER membrane";Transport, ER membrane
"tetracosanoyl-CoA transport, cytoplasm-ER membrane";Transport, ER membrane
"hexacosanoyl-CoA transport, cytoplasm-ER membrane";Transport, ER membrane
"H+ transport, cytoplasm-ER membrane";Transport, ER membrane
"H2O transport, cytoplasm-ER membrane";Transport, ER membrane
"CO2 transport, cytoplasm-ER membrane";Transport, ER membrane
"coenzyme A transport, cytoplasm-ER membrane";Transport, ER membrane
"NADPH transport, cytoplasm-ER membrane";Transport, ER membrane
"dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylpentanoate)";Valine, leucine and isoleucine biosynthesis
"NADP(+) transport, cytoplasm-ER membrane";Transport, ER membrane
"O2 transport, cytoplasm-ER membrane";Transport, ER membrane
"NADH transport, cytoplasm-ER membrane";Transport, ER membrane
"NAD transport, cytoplasm-ER membrane";Transport, ER membrane
"glycerol 3-phosphate transport, cytoplasm-ER membrane";Transport, ER membrane
"dihydroxyacetone phosphate transport, cytoplasm-ER membrane";Transport, ER membrane
"diphosphate transport, cytoplasm-ER membrane";Transport, ER membrane
"phosphate transport, cytoplasm-ER membrane";Transport, ER membrane
"CTP transport, cytoplasm-ER membrane";Transport, ER membrane
"CDP transport, cytoplasm-ER membrane";Transport, ER membrane
"dihydroxyacetone kinase";Glycerolipid metabolism
"CMP transport, cytoplasm-ER membrane";Transport, ER membrane
"CDP-ethanolamine transport, cytoplasm-ER membrane";Transport, ER membrane
"CDP-choline transport, cytoplasm-ER membrane";Transport, ER membrane
"ATP transport, cytoplasm-ER membrane";Transport, ER membrane
"AMP transport, cytoplasm-ER membrane";Transport, ER membrane
"L-serine transport, cytoplasm-ER membrane";Transport, ER membrane
"myo-inositol transport, cytoplasm-ER membrane";Transport, ER membrane
"S-adenosyl-L-methionine transport, cytoplasm-ER membrane";Transport, ER membrane
"S-adenosyl-L-homocysteine transport, cytoplasm-ER membrane";Transport, ER membrane
"episterol transport, cytoplasm-ER membrane";Transport, ER membrane
"dimethylallyltranstransferase";Terpenoid backbone biosynthesis
"fecosterol transport, cytoplasm-ER membrane";Transport, ER membrane
"lanosterol transport, cytoplasm-ER membrane";Transport, ER membrane
"ergosterol transport, cytoplasm-ER membrane";Transport, ER membrane
"zymosterol transport, cytoplasm-ER membrane";Transport, ER membrane
"diglyceride transport, cytoplasm-ER membrane";Transport, ER membrane
"diphosphoglyceromutase";Glycolysis/Gluconeogenesis
"1-phosphatidyl-1D-myo-inositol transport, cytoplasm-ER membrane";Transport, ER membrane
"diphosphoinositol-1,3,4,6-tetrakisphosphate diphosphohydrolase";Inositol phosphate metabolism
"sn-glycero-3-phosphocholine transport, ER membrane-cytoplasm";Transport, ER membrane
"hexadecanoate (n-C16:0) transport, cytoplasm-lipid particle";Transport, lipid particle
"hexadecenoate (n-C16:1) transport, cytoplasm-lipid particle";Transport, lipid particle
"octadecanoate (n-C18:0) transport, cytoplasm-lipid particle";Transport, lipid particle
"octadecenoate (n-C18:1) transport, cytoplasm-lipid particle";Transport, lipid particle
"lauroyl-CoA transport, cytoplasm-lipid particle";Transport, lipid particle
"myristoyl-CoA transport, cytoplasm-lipid particle";Transport, lipid particle
"palmitoyl-CoA transport, cytoplasm-lipid particle";Transport, lipid particle
"palmitoleoyl-CoA transport, cytoplasm-lipid particle";Transport, lipid particle
"stearoyl-CoA transport, cytoplasm-lipid particle";Transport, lipid particle
"diphosphoinositol-1,3,4,6-tetrakisphosphate synthase";Inositol phosphate metabolism
"oleoyl-CoA transport, cytoplasm-lipid particle";Transport, lipid particle
"glycerol 3-phosphate transport, cytoplasm-lipid particle";Transport, lipid particle
"dihydroxyacetone phosphate transport, cytoplasm-lipid particle";Transport, lipid particle
"NADPH transport, cytoplasm-lipid particle";Transport, lipid particle
"NADP(+) transport, cytoplasm-lipid particle";Transport, lipid particle
"ATP transport, cytoplasm-lipid particle";Transport, lipid particle
"AMP transport, cytoplasm-lipid particle";Transport, lipid particle
"diphosphate transport, cytoplasm-lipid particle";Transport, lipid particle
"diglyceride transport, cytoplasm-lipid particle";Transport, lipid particle
"diphthine synthase";Diphtamide biosynthesis
"H2O transport, cytoplasm-lipid particle";Transport, lipid particle
"glycerol transport, lipid particle-cytoplasm";Transport, lipid particle
"docosanoyl-CoA transport, lipid particle-cytoplasm";Transport, lipid particle
"tetracosanoyl-CoA transport, lipid particle-cytoplasm";Transport, lipid particle
"3',5'-cyclic-nucleotide phosphodiesterase";Purine metabolism
"dolichol kinase";N-Glycan biosynthesis
"hexacosanoyl-CoA transport, lipid particle-cytoplasm";Transport, lipid particle
"ATP transport, cytoplasm-cell envelope";Transport, envelope
"ADP transport, cytoplasm-cell envelope";Transport, envelope
"H+ transport, cytoplasm-cell envelope";Transport, envelope
"H2O transport, cytoplasm-cell envelope";Transport, envelope
"phosphate transport, cytoplasm-cell envelope";Transport, envelope
"sn-glycero-3-phosphocholine transport, cell envelope-cytoplasm";Transport, envelope
"1-(sn-glycero-3-phospho)-1D-myo-inositol transport, cell envelope-cytoplasm";Transport, envelope
"palmitate transport, cell envelope-cytoplasm";Transport, envelope
"palmitoleate transport, cell envelope-cytoplasm";Transport, envelope
"dolichyl-phosphate D-mannosyltransferase";N-Glycan biosynthesis
"stearate transport, cell envelope-cytoplasm";Transport, envelope
"oleate transport, cell envelope-cytoplasm";Transport, envelope
"icosanoyl-CoA transport, cell envelope-cytoplasm";Transport, envelope
"docosanoyl-CoA transport, cell envelope-cytoplasm";Transport, envelope
"tetracosanoyl-CoA transport, cell envelope-cytoplasm";Transport, envelope
"hexacosanoyl-CoA transport, cell envelope-cytoplasm";Transport, envelope
"1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate transport, cell envelope-cytoplasm";Transport, envelope
"dolichyl-phosphate-mannose--protein mannosyltransferase";N-Glycan biosynthesis
"1-phosphatidyl-1D-myo-inositol 4-phosphate transport, cell envelope-cytoplasm";Transport, envelope
"dTMP kinase";Pyrimidine metabolism
"1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate transport, nucleus-cytoplasm";Transport, nucleus
"dUTP diphosphatase";Pyrimidine metabolism
"diglyceride transport, nucleus-cytoplasm";Transport, nucleus
"H2O transport, cytoplasm-vacuolar membrane";Transport, vacuolar membrane
"phosphate transport, cytoplasm-vacuolar membrane";Transport, vacuolar membrane
"H+ transport, cytoplasm-vacuolar membrane";Transport, vacuolar membrane
"ATP transport, cytoplasm-vacuolar membrane";Transport, vacuolar membrane
"ADP transport, cytoplasm-vacuolar membrane";Transport, vacuolar membrane
"carbon dioxide transport, cytoplasm-vacuolar membrane";Transport, vacuolar membrane
"1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate transport, vacuolar membrane-cytoplasm";Transport, vacuolar membrane
"enolase";Glycolysis/Gluconeogenesis
"H2O transport, cytoplasm-Golgi membrane";Transport, Golgi membrane
"phosphate transport, cytoplasm-Golgi membrane";Transport, Golgi membrane
"H+ transport, cytoplasm-Golgi membrane";Transport, Golgi membrane
"carbon dioxide transport, cytoplasm-Golgi membrane";Transport, Golgi membrane
"ATP transport, cytoplasm-Golgi membrane";Transport, Golgi membrane
"ADP transport, cytoplasm-Golgi membrane";Transport, Golgi membrane
"H2O transport, cytoplasm-mitochondrial membrane";Transport, mitochondrial membrane
"carbon dioxide transport, cytoplasm-mitochondrial membrane";Transport, mitochondrial membrane
"palmitoleoyl-CoA transport, cytoplasm-mitochondrial membrane";Transport, mitochondrial membrane
"oleoyl-CoA transport, cytoplasm-mitochondrial membrane";Transport, mitochondrial membrane
"diglyceride transport, mitochondrial membrane-cytoplasm";Transport, mitochondrial membrane
"palmitate transport, mitochondrial membrane-cytoplasm";Transport, mitochondrial membrane
"stearate transport, mitochondrial membrane-cytoplasm";Transport, mitochondrial membrane
"ethanolamine kinase";Glycerophospholipid metabolism
"coenzyme A transport, mitochondrial membrane-cytoplasm";Transport, mitochondrial membrane
"laurate transport, ER membrane-lipid particle";Transport, ER membrane to lipid particle
"myristate transport, ER membrane-lipid particle";Transport, ER membrane to lipid particle
"lignoceric acid transport, ER membrane-lipid particle";Transport, ER membrane to lipid particle
"cerotic acid transport, ER membrane-lipid particle";Transport, ER membrane to lipid particle
"TAG transport, ER membrane-lipid particle";Transport, ER membrane to lipid particle
"3',5'-cyclic-nucleotide phosphodiesterase";Purine metabolism
"exo-1,3-beta-glucan glucohydrase";Starch and sucrose metabolism
"episterol transport, ER membrane-lipid particle";Transport, ER membrane to lipid particle
"fecosterol transport, ER membrane-lipid particle";Transport, ER membrane to lipid particle
"lanosterol transport, ER membrane-lipid particle";Transport, ER membrane to lipid particle
"zymosterol transport, ER membrane-lipid particle";Transport, ER membrane to lipid particle
"ergosteryl palmitoleate transport, ER membrane-lipid particle";Transport, ER membrane to lipid particle
"ergosteryl oleate transport, ER membrane-lipid particle";Transport, ER membrane to lipid particle
"episteryl palmitoleate transport, ER membrane-lipid particle";Transport, ER membrane to lipid particle
"episteryl oleate transport, ER membrane-lipid particle";Transport, ER membrane to lipid particle
"fecosteryl palmitoleate transport, ER membrane-lipid particle";Transport, ER membrane to lipid particle
"fecosteryl oleate transport, ER membrane-lipid particle";Transport, ER membrane to lipid particle
"lanosteryl palmitoleate transport, ER membrane-lipid particle";Transport, ER membrane to lipid particle
"lanosteryl oleate transport, ER membrane-lipid particle";Transport, ER membrane to lipid particle
"zymosteryl palmitoleate transport, ER membrane-lipid particle";Transport, ER membrane to lipid particle
"farnesyltranstransferase";Terpenoid backbone biosynthesis
"zymosteryl oleate transport, ER membrane-lipid particle";Transport, ER membrane to lipid particle
"phosphatidylcholine transport, ER membrane-lipid particle";Transport, ER membrane to lipid particle
"phosphatidylethanolamine transport, ER membrane-lipid particle";Transport, ER membrane to lipid particle
"1-acylglycerophosphocholine transport, ER membrane-lipid particle";Transport, ER membrane to lipid particle
"1-acylglycerophosphoethanolamine transport, ER membrane-lipid particle";Transport, ER membrane to lipid particle
"phosphatidate transport, lipid particle-ER membrane";Transport, ER membrane to lipid particle
"phosphatidate transport, ER membrane-mitochondrial membrane";Transport, ER membrane to mitochondrial membrane
"phosphatidyl-L-serine transport, ER membrane-mitochondrial membrane";Transport, ER membrane to mitochondrial membrane
"phosphatidylethanolamine transport, mitochondrial membrane-ER membrane";Transport, ER membrane to mitochondrial membrane
"phosphatidylcholine transport, ER membrane-mitochondrial membrane";Transport, ER membrane to mitochondrial membrane
"diglyceride transport, ER membrane-Golgi membrane";Transport, ER membrane to Golgi membrane
"phosphatidate transport, ER membrane-Golgi membrane";Transport, ER membrane to Golgi membrane
"3,4-dihydroxy-2-butanone-4-phosphate synthase";Riboflavin metabolism
"1-phosphatidyl-1D-myo-inositol transport, ER membrane-Golgi membrane";Transport, ER membrane to Golgi membrane
"fatty acid oxidation (C18:2)";Fatty acid metabolism
"phosphatidyl-L-serine transport, ER membrane-Golgi membrane";Transport, ER membrane to Golgi membrane
"phosphatidylethanolamine transport, Golgi membrane-ER membrane";Transport, ER membrane to Golgi membrane
"phosphatidate transport, ER membrane-vacuolar membrane";Transport, ER membrane to vacuolar membrane
"1-phosphatidyl-1D-myo-inositol transport, ER membrane-vacuolar membrane";Transport, ER membrane to vacuolar membrane
"phosphatidyl-L-serine transport, ER membrane-vacuolar membrane";Transport, ER membrane to vacuolar membrane
"phosphatidylethanolamine transport, vacuolar membrane-ER membrane";Transport, ER membrane to vacuolar membrane
"1-phosphatidyl-1D-myo-inositol 3-phosphate transport, vacuolar membrane-ER membrane";Transport, ER membrane to vacuolar membrane
"1-phosphatidyl-1D-myo-inositol transport, ER membrane-cell envelope";Transport, ER membrane to cell envelope
"phosphatidylcholine transport, ER membrane-cell envelope";Transport, ER membrane to cell envelope
"phosphatidylethanolamine transport, ER membrane-cell envelope";Transport, ER membrane to cell envelope
"phosphatidyl-L-serine transport, ER membrane-cell envelope";Transport, ER membrane to cell envelope
"3-dehydroquinate dehydratase";Phenylalanine, tyrosine and tryptophan biosynthesis
"lignoceric acid transport, cell envelope-ER membrane";Transport, ER membrane to cell envelope
"cerotic acid transport, cell envelope-ER membrane";Transport, ER membrane to cell envelope
"phosphatidate transport, cell envelope-ER membrane";Transport, ER membrane to cell envelope
"1-phosphatidyl-1D-myo-inositol 4-phosphate transport, cell envelope-ER membrane";Transport, ER membrane to cell envelope
"1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate transport, cell envelope-ER membrane";Transport, ER membrane to cell envelope
"zymosteryl palmitoleate transport, ER membrane-cell envelope";Transport, ER membrane to cell envelope
"zymosteryl oleate transport, ER membrane-cell envelope";Transport, ER membrane to cell envelope
"1-phosphatidyl-1D-myo-inositol transport, ER membrane-nucleus";Transport, ER membrane to nucleus
"lignoceric acid transport, ER membrane-ER";Transport, ER to ER membrane
"cerotic acid transport, ER membrane-ER";Transport, ER to ER membrane
"ergosterol transport, ER-ER membrane";Transport, ER to ER membrane
"phosphate transport, ER-ER membrane";Transport, ER to ER membrane
"1-phosphatidyl-1D-myo-inositol 3-phosphate transport, vacuolar membrane-Golgi membrane";Transport, ER membrane to vacuolar membrane
"1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate transport, vacuolar membrane-cell envelope";Transport, ER membrane to vacuolar membrane
"H+ transport, mitochondrion-mitochondrial membrane";Transport, mitochondrion to mitochondrial membrane
"glycerol 3-phosphate transport, mitochondrion-mitochondrial membrane";Transport, mitochondrion to mitochondrial membrane
"CMP transport, mitochondrion-mitochondrial membrane";Transport, mitochondrion to mitochondrial membrane
"CTP transport, mitochondrion-mitochondrial membrane";Transport, mitochondrion to mitochondrial membrane
"phosphate transport, mitochondrion-mitochondrial membrane";Transport, mitochondrion to mitochondrial membrane
"diphosphate transport, mitochondrion-mitochondrial membrane";Transport, mitochondrion to mitochondrial membrane
"phosphatidyl-L-serine transport, ER membrane-cytoplasm";Transport, ER membrane
"fatty-acid--CoA ligase (decanoate)";Fatty acid elongation
"phosphatidylcholine transport, ER membrane-cytoplasm";Transport, ER membrane
"(S)-lactate:ferricytochrome-c 2-oxidoreductase";Pyruvate metabolism
"3-dehydroquinate synthase";Phenylalanine, tyrosine and tryptophan biosynthesis
"fatty-acid--CoA ligase (dodecanoate)";Fatty acid elongation
"phosphatidylethanolamine transport, ER membrane-cytoplasm";Transport, ER membrane
"fatty-acid--CoA ligase (hexadecanoate)";Fatty acid elongation
"triglyceride transport, ER membrane-cytoplasm";Transport, ER membrane
"succinyl-CoA:acetate CoA transferase";
"heme a transport";Transport, mitochondrion
"raffinose invertase";Exchange
"raffinose exchange";Exchange
"melibiose exchange";Exchange
"uridine hydrolase";
"3-dehydrosphinganine reductase";Sphingolipid metabolism
"fatty-acid--CoA ligase (octanoate)";Fatty acid elongation
"fatty-acid--CoA ligase (tetradecanoate)";Fatty acid elongation
"3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase";Phenylalanine, tyrosine and tryptophan biosynthesis
"3-hexaprenyl-4,5-dihydroxybenzoate hydroxylase";Ubiquinone and other terpenoid-quinone biosynthesis
"ferrochelatase";Porphyrin and chlorophyll metabolism
"ferrocytochrome-c:hydrogen-peroxide oxidoreductase";Oxidative phosphorylation
"ferrocytochrome-c:oxygen oxidoreductase";Oxidative phosphorylation
"ferrocytochrome-c:oxygen oxidoreductase";Oxidative phosphorylation
"3-hexaprenyl-4-hydroxy-5-methoxybenzoate decarboxylase";Ubiquinone and other terpenoid-quinone biosynthesis
"FMN adenylyltransferase";Riboflavin metabolism
"formaldehyde dehydrogenase";Methane metabolism
"formate dehydrogenase";Methane metabolism
"formate-tetrahydrofolate ligase";One carbon pool by folate
"formate-tetrahydrofolate ligase";One carbon pool by folate
"fructose-2,6-bisphosphate 2-phosphatase";Fructose and mannose metabolism
"fructose-bisphosphatase";Glycolysis/Gluconeogenesis
"3-hydroxy-L-kynurenine hydrolase";Tryptophan metabolism
"fructose-bisphosphate aldolase";Glycolysis/Gluconeogenesis
"fumarase";Citrate cycle (TCA cycle)
"fumarase, cytoplasmic";Citrate cycle (TCA cycle)
"dihydoorotic acid dehydrogenase";Pyrimidine metabolism
"g-glutamyltransferase";Glutathione metabolism
"galactokinase";Galactose metabolism
"galactose-1-phosphate uridylyltransferase";Galactose metabolism
"gamma-glutamylcysteine synthetase";Glutathione metabolism
"geranylgeranyltranstransferase";Terpenoid backbone biosynthesis
"geranyltranstransferase";Terpenoid backbone biosynthesis
"glucan 1,4-alpha-glucosidase";Starch and sucrose metabolism
"glucosamine-6-phosphate deaminase";Amino sugar and nucleotide sugar metabolism
"glucose 6-phosphate dehydrogenase";Pentose phosphate pathway
"glucose-6-phosphate isomerase";Glycolysis/Gluconeogenesis
"glutamate 5-kinase";Arginine and proline metabolism
"glutamate decarboxylase";Butanoate metabolism
"glutamate dehydrogenase (NAD)";Alanine, aspartate and glutamate metabolism
"glutamate dehydrogenase (NADP)";Alanine, aspartate and glutamate metabolism
"glutamate synthase (NADH2)";Alanine, aspartate and glutamate metabolism
"glutamate-5-semialdehyde dehydrogenase";Arginine and proline metabolism
"glutaminase";Alanine, aspartate and glutamate metabolism
"glutamine synthetase";Alanine, aspartate and glutamate metabolism
"glutamine-fructose-6-phosphate transaminase";Amino sugar and nucleotide sugar metabolism
"glutaminyl-tRNA synthetase";Aminoacyl-tRNA biosynthesis
"glutamyl-tRNA synthetase";Aminoacyl-tRNA biosynthesis
"glutamyl-tRNA synthetase";Aminoacyl-tRNA biosynthesis
"glutathione oxidoreductase";Glutathione metabolism
"glutathione oxidoreductase";Glutathione metabolism
"glutathione peridoxase";Glutathione metabolism
"glutathione peroxidase, mitochondria";Glutathione metabolism
"glutathione synthetase";Glutathione metabolism
"glyceraldehyde-3-phosphate dehydrogenase";Glycolysis/Gluconeogenesis
"glycerol dehydrogenase (NADP-dependent)";Glycerolipid metabolism
"glycerol kinase";Glycerolipid metabolism
"glycerol-3-phosphate dehydrogenase (fad)";Glycerophospholipid metabolism
"glycerol-3-phosphate dehydrogenase (NAD)";Glycerophospholipid metabolism
"glycerol-3-phosphate dehydrogenase (NAD)";Glycerophospholipid metabolism
"glycerol-3-phosphate/dihydroxyacetone phosphate acyltransferase";Glycerophospholipid metabolism
"glycerol-3-phosphate/dihydroxyacetone phosphate acyltransferase";Glycerophospholipid metabolism
"glycerol-3-phosphate/dihydroxyacetone phosphate acyltransferase";Glycerophospholipid metabolism
"glycerol-3-phosphate/dihydroxyacetone phosphate acyltransferase";Glycerolipid metabolism
"glycerophosphodiester phosphodiesterase (glycerophosphocholine)";Glycerophospholipid metabolism
"glycinamide ribotide transformylase";Purine metabolism
"1,3-beta-glucan synthase";Starch and sucrose metabolism
"glycine C-acetyltransferase";Glycine, serine and threonine metabolism
"glycine cleavage system";Glyoxylate and dicarboxylate metabolism
"glycine hydroxymethyltransferase";Glycine, serine and threonine metabolism
"glycine hydroxymethyltransferase";Glycine, serine and threonine metabolism
"glycine-cleavage complex (lipoamide)";Glycine, serine and threonine metabolism
"glycine-cleavage complex (lipoamide)";Glycine, serine and threonine metabolism
"glycine-cleavage complex (lipoylprotein)";Glycine, serine and threonine metabolism
"glycine-cleavage complex (lipoylprotein)";Glycine, serine and threonine metabolism
"glycine-cleavage complex (lipoylprotein)";Glycine, serine and threonine metabolism
"glycine-cleavage system (lipoamide)";Glycine, serine and threonine metabolism
"glycogen (starch) synthase";Starch and sucrose metabolism
"glycogen phosphorylase";Starch and sucrose metabolism
"glycyl-tRNA synthetase";Aminoacyl-tRNA biosynthesis
"GMP synthase";Purine metabolism
"gnnuc";Purine metabolism
"GPI-anchor assembly, step 2";Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
"GPI-anchor assembly, step 5";Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
"GPI-anchor assembly, step 6";Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
"GPI-anchor assembly, step 7";Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
"GPI-anchor assembly, step 8";Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
"GPI-anchor assembly, step 9";Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
"GTP cyclohydrolase I";Folate biosynthesis
"GTP cyclohydrolase II";Riboflavin metabolism
"guanine deaminase";Purine metabolism
"guanine phosphoribosyltransferase";Purine metabolism
"guanylate kinase";Purine metabolism
"guanylate kinase (GMP:dATP)";Purine metabolism
"heme O monooxygenase";Porphyrin and chlorophyll metabolism
"Heme O synthase";Porphyrin and chlorophyll metabolism
"hexaprenyldihydroxybenzoate methyltransferase";Ubiquinone and other terpenoid-quinone biosynthesis
"hexokinase (D-fructose:ATP)";Fructose and mannose metabolism
"hexokinase (D-glucose:ATP)";Glycolysis/Gluconeogenesis
"hexokinase (D-mannose:ATP)";Fructose and mannose metabolism
"histidinol dehydrogenase";Histidine metabolism
"histidinol-phosphatase";Histidine metabolism
"histidinol-phosphate transaminase";Histidine metabolism
"histidyl-tRNA synthetase";Aminoacyl-tRNA biosynthesis
"histidyl-tRNA synthetase";Aminoacyl-tRNA biosynthesis
"hnRNP arginine N-methyltransferase";Histidine metabolism
"homoacontinate hydratase";Lysine biosynthesis
"homocitrate synthase";Lysine biosynthesis
"homocysteine S-methyltransferase";Cysteine and methionine metabolism
"homoisocitrate dehydrogenase";Lysine biosynthesis
"homoserine dehydrogenase (NADP)";Glycine, serine and threonine metabolism
"homoserine kinase";Glycine, serine and threonine metabolism
"homoserine O-trans-acetylase";Cysteine and methionine metabolism
"hydrogen peroxide reductase (thioredoxin)";Thioredoxin
"hydrogen peroxide reductase (thioredoxin)";Thioredoxin
"hydrogen peroxide reductase (thioredoxin)";Thioredoxin
"hydroxyacylglutathione hydrolase";Pyruvate metabolism
"hydroxyacylglutathione hydrolase";Pyruvate metabolism
