Entry;subSystem
"diphosphate transport";Transport, peroxisome
"dolichol phosphate transport";Transport, ER
"dTTP exchange";Exchange
"aldehyde dehydrogenase (acetylaldehyde, NADP)";Glycolysis/Gluconeogenesis
"dTTP uniport";Transport, extracellular
"dUDP diffusion";Transport, nucleus
"dUMP transport";Transport, nucleus
"episterol exchange";Exchange
"ergosta-5,6,22,24,(28)-tetraen-3beta-ol transport";Transport, ER
"ergosterol exchange";Exchange
"ergosterol transport";Transport, ER
"ergosterol transport";Transport, lipid particle
"ergosterol transport";Transport, envelope
"ethanol exchange";Exchange
"ethanol transport";Transport, extracellular
"ethanol transport, mitochondrial";Transport, mitochondrion
"ethanolamine exchange";Exchange
"farnesyl diphosphate transport";Transport, mitochondrion
"decanoate (n-C10:0) transport, cytoplasm-peroxisome";Transport, peroxisome
"laurate (n-C12:0) transport, cytoplasm-peroxisome";Transport, peroxisome
"myristate (n-C14:0) transport, cytoplasm-peroxisome";Transport, peroxisome
"palmitate (n-C16:0) transport, cytoplasm-peroxisome";Transport, peroxisome
"palmitoleate (n-C16:1) transport, cytoplasm-peroxisome";Transport, peroxisome
"octanoate (n-C8:0) transport, cytoplasm-peroxisome";Transport, peroxisome
"myristate (n-C14:0) transport";Transport, extracellular
"fecosterol exchange";Exchange
"FMN adenylyltransferase";Riboflavin metabolism
"FMN exchange";Exchange
"folic acid exchange";Exchange
"formate exchange";Exchange
"formate transport";Transport, mitochondrion
"formate transport";Transport, extracellular
"formate transport";Transport, extracellular
"fructose-1-phosphate kinase";
"fumarate(2-) exchange";Exchange
"2-aminoadipate transaminase";Lysine biosynthesis
"gamma-aminobutyrate exchange";Exchange
"GDP transport";Transport, Golgi
"GDP transport";Transport, nucleus
"GDP-alpha-D-mannose transport";Transport, Golgi
"glucose transport, vacuolar";Transport, vacuole
"glutathione disulfide exchange";Exchange
"glutathione exchange";Exchange
"glycerol exchange";Exchange
"glycerol-3-phosphate shuttle";Transport, mitochondrion
"glycine exchange";Exchange
"glycine transport";Transport, mitochondrion
"glycoaldehyde transport";Transport, mitochondrion
"glycoaldehyde transport";Transport, extracellular
"glycolaldehyde exchange";Exchange
"glyoxylate exchange";Exchange
"glyoxylate transport";Transport, extracellular
"glyoxylate transport";Transport, peroxisome
"guanine exchange";Exchange
"guanine transport";Transport, mitochondrion
"guanosine exchange";Exchange
"guanosine kinase";
"guanosine transport";Transport, mitochondrion
"guanosine transport";Transport, extracellular
"H+ diffusion";Transport, extracellular
"H+ diffusion";Transport, ER
"H+ diffusion";Transport, Golgi
"H+ diffusion";Transport, lipid particle
"H+ diffusion";Transport, nucleus
"H+ diffusion";Transport, peroxisome
"H+ diffusion";Transport, vacuole
"H+ exchange";Exchange
"hexacosanoyl-CoA transport";Transport, ER
"hexadecanal exchange";Exchange
"hexadecanoate (n-C16:0) transport";Transport, extracellular
"hexadecenoate (n-C16:1) transport";Transport, extracellular
"L-histidine transport, mitochondrial";Transport, mitochondrion
"homocitrate synthase";Lysine biosynthesis
"hydrogen peroxide transport";Transport, nucleus
"hydroxymethylglutaryl-CoA transport";Transport, mitochondrion
"hypoxanthine exchange";Exchange
"hypoxanthine transport";Transport, extracellular
"indole-3-acetate transport";Transport, mitochondrion
"inosine exchange";Exchange
"inosine transport";Transport, extracellular
"inositol hexakisphosphate transport";Transport, nucleus
"insosine kinase";
"IPC transport";Transport, ER to Golgi
"IPC transport";Transport, ER to Golgi
"IPC transport";Transport, ER to Golgi
"IPC transport";Transport, ER to Golgi
"IPC transport";Transport, ER to Golgi
"IPC transport";Transport, ER to Golgi
"IPC transport";Transport, ER to Golgi
"IPC transport";Transport, ER to Golgi
"IPC transport";Transport, ER to Golgi
"IPC transport";Transport, ER to Golgi
"iron(2+) exchange";Exchange
"isoamyl acetate exchange";Exchange
"isoamyl alcohol transport";Transport, extracellular
"isoamyl alcohol transport";Transport, mitochondrion
"isoamylol exchange";Exchange
"L-1-pyrroline-3-hydroxy-5-carboxylate spontaneous conversion to L-4-hydroxyglutamate semialdehyde";
"L-2-amino-3-oxobutanoate decarboxylation (spontaneous)";
"L-alanine exchange";Exchange
"L-alanine transport";Transport, mitochondrion
"L-arabinitol exchange";Exchange
"L-arabinitol transport";Transport, extracellular
"L-arabinoase transport";Transport, extracellular
"L-arabinose exchange";Exchange
"L-arginine exchange";Exchange
"alkaline phosphatase (dihydroneopterin)";Folate biosynthesis
"L-asparagine exchange";Exchange
"L-aspartate exchange";Exchange
"L-carnitine transport";Transport, mitochondrion
"L-cysteine exchange";Exchange
"L-erythro-4-hydroxyglutamate transport";Transport, mitochondrion
"L-erythro-4-hydroxyglutamate transport";Transport, peroxisome
"L-glucitol exchange";Exchange
"L-glutamate 5-semialdehyde dehydratase";Arginine and proline metabolism
"L-glutamate exchange";Exchange
"allantoate amidinohydrolase";Purine metabolism
"L-glutamate transport";Transport, nucleus
"L-glutamine exchange";Exchange
"L-glutamine transport";Transport, nucleus
"L-histidine exchange";Exchange
"L-homoserine transport";Transport, extracellular
"L-homoserine transport";Exchange
"L-isoleucine exchange";Exchange
"L-isoleucine transport";Transport, mitochondrion
"L-leucine exchange";Exchange
"2-dehydropantoate 2-reductase";Pantothenate and CoA biosynthesis
"allantoinase";Purine metabolism
"L-lysine exchange";Exchange
"L-malate transport";Transport, extracellular
"L-methionine exchange";Exchange
"L-phenylalanine exchange";Exchange
"L-proline exchange";Exchange
"L-proline transport";Transport, mitochondrion
"L-serine exchange";Exchange
"L-serine transport";Transport, ER
"L-sorbitol transport";Transport, extracellular
"L-sorbose exchange";Exchange
"allophanate hydrolase";Arginine and proline metabolism
"L-sorbose transport";Transport, extracellular
"L-threonine exchange";Exchange
"L-tryptophan exchange";Exchange
"L-tyrosine exchange";Exchange
"L-valine exchange";Exchange
"lanosterol exchange";Exchange
"laurate exchange";Exchange
"lysine transport";Transport, mitochondrion
"alpha 1,2-mannosyltransferase";N-Glycan biosynthesis
"M(IP)2C transport";Transport, ER to Golgi
"M(IP)2C transport";Transport, ER to Golgi
"M(IP)2C transport";Transport, ER to Golgi
