UniProt_Entry	PARe.1	PARe.2	PARe.3	PARn.1	PARn.2	PARn.3	CARe.1	CARe.2	CARe.3	CARn.1	CARn.2	CARn.3	OBEe.1	OBEe.2	OBEe.3	OBEn.1	OBEn.2	OBEn.3
Q6C191	0.012433834	0.013998114	0.021617796	0.055401229	0.045700706	0.044563738	0.01698813	0.016436072	0.016233715	0.046509873	0.042275344	0.02690913	0.051663101	0.026997771	0.031456249	0.092326343	0.07171696	0.063493345
Q6C197	0.062298494	0.055937641	0.064704102	0.00560113	0.006118998	0.004274163	0.082327983	0.076167363	0.074882012	0.006888786	0.008829549	0.027167042	0.082946124	0.082558904	0.082764759	0.008763955	0.006176344	0.005974335
Q6CHW0	0.008756433	0.010700941	0.011359023	0.006212161	0.005952602	0.005670052	0.010029314	0.010839563	0.010544998	0.006911942	0.005302469	0.005429908	0.010681098	0.011090788	0.011563254	0.007787036	0.006183899	0.008573947
Q6CHW1	0.00586647	0.006824845	0.001313496	0.000942975	0.001046198	0.000811839	NA	NA	NA	0.000667459	0.000506618	0.000391938	0.007335604	0.006402584	0.007125572	0.000401208	0.000786584	0.000759
Q6CBN0	0.01469359	0.01652148	0.015707828	0.008820961	0.008023736	0.008190978	0.01144763	0.012793761	0.012984169	0.009689499	0.008236816	0.006648571	0.010493315	0.012054993	0.010816269	0.010680338	0.008513291	0.011298605
Q6CBN4	0.094726561	0.090546617	0.101535659	0.068484578	0.062565481	0.064631605	0.061759553	0.067090049	0.061380537	0.061019392	0.059537582	0.040831752	0.119716713	0.106001279	0.097547701	0.071236243	0.074107501	0.076249189
Q6CBN6	0.012500451	0.011003997	0.010999477	0.009285375	0.007149135	0.007681948	0.011661646	0.010965339	0.012215082	0.011263484	0.01225003	0.009202244	0.006138208	0.007673393	0.006567863	0.006804049	0.009966788	0.011073258
Q6CH26	0.008805724	0.009243043	0.009556253	0.016443206	0.01344511	0.013584363	0.009701508	0.009663667	0.010803555	0.015537218	0.014519943	0.009409541	0.013500821	0.013252821	0.013857216	0.015904231	0.015698141	0.01571742
Q6CH25	0.148349408	0.162473796	0.170053991	0.059223856	0.057107999	0.057934385	0.174257312	0.170174134	0.179579131	0.056108954	0.062758826	0.067941499	0.199949806	0.190159847	0.181474251	0.045327888	0.048789438	0.052169973
Q6CH22	0.070134178	0.076999671	0.081720093	0.008754229	0.006516566	0.00495235	0.083450257	0.083853921	0.084437793	0.007283641	0.005933367	0.022632229	0.072581946	0.073402205	0.068730575	0.007046731	0.005674314	0.00587476
Q6CI71	0.00875307	0.006541741	0.006997019	0.004833716	0.007113174	0.005341664	0.006797825	0.007335803	0.006093616	0.005078938	0.004180626	0.004109864	0.007276919	0.010595907	0.016272845	0.005176404	0.003893904	0.004173098
Q6CI72	0.022370119	0.019445712	0.016980332	0.150392719	0.148604012	0.143390161	0.010726973	0.013871926	0.012131575	0.141419869	0.14923393	0.075499103	0.010947111	0.010180835	0.01039901	0.099795554	0.11970662	0.118677779
Q6CI73	0.001866623	0.00182745	0.000845403	0.001398428	0.000881028	0.001194498	0.001165124	0.001356341	0.001805073	0.001445836	0.001165537	0.001451355	0.001145679	0.001342653	0.001110115	0.001684668	0.001846868	0.001500246
Q6CI74	0.001245214	0.001100251	0.000607153	NA	NA	NA	0.000759784	0.00049278	0.000403133	NA	NA	NA	0.001056781	NA	NA	NA	NA	NA
Q6CI77	0.018537602	0.019445629	0.017457492	0.007924608	0.008202019	0.006366007	0.016093909	0.01577152	0.015267931	0.008361729	0.006513635	0.00725223	0.01212598	0.010950487	0.011107706	0.00956051	0.007865787	0.009412487
Q6C446	0.006363365	0.00813891	0.00782912	0.004006838	0.003329447	0.003009868	0.006731259	0.006935153	0.005995781	0.004911246	0.003537455	0.003742876	0.00611	0.004757373	0.006157233	0.005115007	0.005499437	0.004483218
Q6C444	0.001093771	NA	NA	NA	0.00062694	NA	0.000232453	NA	0.000860553	0.000825513	0.00031229	0.000549302	0.000443783	0.00032436	0.001356588	NA	0.000247899	0.000423357
Q6C441	0.002876615	0.002992618	0.002687683	NA	NA	0.001247535	0.002619514	0.003294812	0.002361649	0.001926826	0.000736263	0.002003238	0.001458654	0.002153119	0.001381954	NA	NA	NA
Q6C438	0.108731252	0.116750202	0.085727703	0.028527132	0.026526969	0.021336588	0.047407205	0.053203292	0.056486258	0.023214049	0.024177893	0.022033638	0.041612218	0.047601175	0.044834186	0.0225841	0.020354005	0.019426639
Q6C437	0.001990978	0.002170483	0.001826428	0.000362544	0.000245812	0.000431046	0.001774493	0.002055241	0.002064909	0.000439442	0.000411262	0.00086177	0.001531353	0.001376712	0.001583448	0.000253178	0.000311238	0.000550851
Q6C436	0.004649586	0.00541577	0.006095931	0.003534145	0.00331502	0.001856621	0.004390789	0.005854192	0.006271002	0.003468682	0.002820766	0.002713929	0.002650175	0.003348753	0.002530184	0.003899934	0.002727438	0.001856383
Q6C434	0.001319087	0.000902058	NA	NA	0.001192778	0.000844305	NA	0.000985035	0.000688571	0.001048885	0.001326309	0.000987197	0.000664826	0.000781542	0.0004598	0.001721702	0.001582915	0.002075821
Q6C433	0.009507762	0.00977305	0.01068645	0.005671187	0.00516377	0.005406495	0.008943154	0.010406325	0.01021558	0.005183053	0.004555733	0.004820975	0.010215567	0.010160742	0.01057284	0.003509365	0.003749381	0.004012954
Q6C430	0.024556611	0.026199171	0.028696019	0.011319225	0.012969825	0.013955627	0.023024713	0.025406299	0.025397001	0.011434628	0.011390101	0.012567265	0.022373236	0.021216958	0.020014904	0.009724066	0.009445943	0.011813854
Q6CG73	0.014263454	0.009457416	0.010411391	0.002986545	0.005649629	0.004807197	0.01116878	0.011316642	0.013132697	0.00501018	0.003226062	0.005069742	0.012645693	0.015063842	0.019492701	0.002127925	0.003633955	0.003749873
Q6CG72	NA	0.001741741	0.000727158	0.001056908	0.001084994	NA	0.001763649	NA	0.001278389	0.001028376	NA	NA	0.001326169	NA	NA	NA	NA	NA
Q6CG65	0.005088475	0.004370752	0.005224174	0.004992056	0.007958102	0.0047606	0.004201042	0.004227029	0.004233816	0.005090344	0.003757167	0.003548603	0.004367643	0.00384664	0.004853117	0.002188617	0.004001612	0.003824141
Q6CG64	0.004821254	0.004748739	0.006233337	0.003272705	0.002868329	0.00237447	0.005017267	0.005355521	0.005362814	0.003493601	0.003069171	0.003200729	0.004754992	0.005488589	0.005733717	0.003888713	0.003498339	0.003971195
Q6CG63	0.03535122	0.039277789	0.043034346	0.008016607	0.008883765	0.007327103	0.03949388	0.042898148	0.044979474	0.009015786	0.007839813	0.012001492	0.037024292	0.039546928	0.038413231	0.009852501	0.008321649	0.008635036
Q6C0A9	0.025904474	0.026596488	0.028237179	0.027630976	0.024821072	0.024795163	0.025610371	0.027223011	0.027241236	0.028002077	0.023100023	0.017409962	0.029605532	0.027104029	0.027430741	0.02700323	0.023822721	0.026065469
