rxn_IDs	rxnNames	slope	grRules	rxn_formula
272_EXP_3	chitin synthase	0.560440055551666	YALI0D03179g	UDP-N-acetyl-alpha-D-glucosamine[c] + 1.4878 prot_Q6CAF6[c] => H+_p+1[c] + UDP[c] + chitin_H2O(C8H13NO5)n[c]
477	glutamine-fructose-6-phosphate transaminase	0.560440055551666	YALI0B21428g	L-glutamine[c] + D-fructose 6-phosphate[c] + 0.60144 prot_Q6CDT1[c] => L-glutamate[c] + alpha-D-glucosamine 6-phosphate[c]
760	N-acetylglucosamine-6-phosphate synthase	0.560440055551666	YALI0D20152g	alpha-D-glucosamine 6-phosphate[c] + acetyl-CoA[c] + 0.13893 prot_Q6C8F2[c] => H+_p+1[c] + coenzyme A[c] + N-acetyl-D-glucosamine 6-phosphate[c]
882	phosphoacetylglucosamine mutase	0.560440055551666	YALI0E29579g	N-acetyl-D-glucosamine 6-phosphate[c] + 1.1545 prot_Q6C454[c] => N-acetyl-alpha-D-glucosamine 1-phosphate[c]
891	phosphoglycerate dehydrogenase	0.480863650228195	YALI0F09966g	NAD[c] + 3-phosphoglycerate[c] + 1.2337 prot_Q6C284[c] => H+_p+1[c] + NADH[c] + 3-phospho-hydroxypyruvate[c]
917	phosphoserine phosphatase (L-serine)	0.480863650228195	YALI0B20438g	H2O[c] + 3-phospho-serine[c] + 0.082307 prot_Q6CDX6[c] => phosphate[c] + L-serine[c]
918	phosphoserine transaminase	0.480863650228195	YALI0F06468g	L-glutamate[c] + 3-phospho-hydroxypyruvate[c] + 0.96798 prot_Q6C2N1[c] => 2-oxoglutarate[c] + 3-phospho-serine[c]
148	adenylate kinase	0.470240161163806	YALI0B00704g	ATP[c] + AMP[c] + 0.0087231 prot_Q6CG57[c] => 2 ADP[c]
2183	stearoyl-CoA desaturase (n-C18:0CoA - n-C18:1CoA), ER membrane	0.467208420945897	YALI0C05951g	stearoyl-CoA[em] + oxygen[em] + NADH[em] + H+_p+1[em] + 7.2744 prot_Q6CCW6[c] => 2 H2O[em] + NAD[em] + oleoyl-CoA[em]
452	fumarase, cytoplasmic	0.404072740561569	YALI0C06776g	fumarate[c] + H2O[c] + 0.012784 prot_Q6CCT2[c] => (S)-malate[c]
2131	isocitrate dehydrogenase	0.37655639210857	YALI0F04095g	NADP(+)[m] + isocitrate[m] + 0.17888 prot_Q6C2Y4[c] => NADPH[m] + 2-oxoglutarate[m] + carbon dioxide[m]
718	malic enzyme (NAD)	0.376556392108569	YALI0E18634g	NAD[m] + (S)-malate[m] + 0.14314 prot_Q6C5F0[c] => pyruvate[m] + NADH[m] + carbon dioxide[m]
502_EXP_2	glycine hydroxymethyltransferase	0.276404615777655	YALI0E16346g	L-serine[c] + THF[c] + 0.022438 prot_Q6C5P5[c] => 5,10-methylenetetrahydrofolate[c] + L-glycine[c] + H2O[c]
336u_1_EXP_2	diacylglycerol acyltransferase	0.267432696926651	YALI0D07986g	diglyceride_ActiveX VT_ERROR:[em] + acyl-CoA[em] + 0.0034567 prot_Q6C9V5[c] => triglyceride_ActiveX VT_ERROR:[em] + coenzyme A[em]
337u	diacylglycerol pyrophosphate phosphatase	0.267432696926651	YALI0D27016g	H2O[em] + phosphatidate_ActiveX VT_ERROR:[em] + 0.062262 prot_Q6C7L9[c] => phosphate[em] + diglyceride_ActiveX VT_ERROR:[em]
495	glycerol-3-phosphate/dihydroxyacetone phosphate acyltransferase	0.24484948468012	YALI0C00209g	acyl-CoA[em] + glycerol 3-phosphate[em] + 10.9063 prot_Q6CDI7[c] => coenzyme A[em] + 1-acyl-sn-glycerol 3-phosphate_ActiveX VT_ERROR:[em]
8u_EXP_2	1-acyl-sn-gylcerol-3-phosphate acyltransferase	0.24484948468012	YALI0F19514g	acyl-CoA[em] + 1-acyl-sn-glycerol 3-phosphate_ActiveX VT_ERROR:[em] + 0.48651 prot_Q6C138[c] => coenzyme A[em] + phosphatidate_ActiveX VT_ERROR:[em]
352	dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)	0.237068544388547	YALI0C23408g	(R)-2,3-dihydroxy-3-methylbutanoate[m] + 1.4783 prot_Q6CAY2[c] => H2O[m] + 3-methyl-2-oxobutanoate[m]
96	acetohydroxy acid isomeroreductase	0.237068544388547	YALI0D03135g	2-acetyllactic acid[m] + NADPH[m] + H+_p+1[m] + 12.517 prot_Q6CAF8[c] => (R)-2,3-dihydroxy-3-methylbutanoate[m] + NADP(+)[m]
