rxn_IDs	rxnNames	slope	grRules	rxn_formula
718	malic enzyme (NAD)	0.417199654752408	YALI0E18634g	NAD[m] + (S)-malate[m] + 0.14314 prot_Q6C5F0[c] => pyruvate[m] + NADH[m] + carbon dioxide[m]
2131	isocitrate dehydrogenase	0.417199654752408	YALI0F04095g	NADP(+)[m] + isocitrate[m] + 0.17888 prot_Q6C2Y4[c] => NADPH[m] + 2-oxoglutarate[m] + carbon dioxide[m]
337u	diacylglycerol pyrophosphate phosphatase	0.293617359998747	YALI0D27016g	H2O[em] + phosphatidate_ActiveX VT_ERROR:[em] + 0.062262 prot_Q6C7L9[c] => phosphate[em] + diglyceride_ActiveX VT_ERROR:[em]
336u_1_EXP_2	diacylglycerol acyltransferase	0.286564501080216	YALI0D07986g	diglyceride_ActiveX VT_ERROR:[em] + acyl-CoA[em] + 0.0034567 prot_Q6C9V5[c] => triglyceride_ActiveX VT_ERROR:[em] + coenzyme A[em]
352	dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)	0.262656316409153	YALI0C23408g	(R)-2,3-dihydroxy-3-methylbutanoate[m] + 1.4783 prot_Q6CAY2[c] => H2O[m] + 3-methyl-2-oxobutanoate[m]
96	acetohydroxy acid isomeroreductase	0.262656316409153	YALI0D03135g	2-acetyllactic acid[m] + NADPH[m] + H+_p+1[m] + 12.517 prot_Q6CAF8[c] => (R)-2,3-dihydroxy-3-methylbutanoate[m] + NADP(+)[m]
97_EXP_1	acetolactate synthase	0.262656316409153	YALI0C00253g	2 pyruvate[m] + H+_p+1[m] + 0.16961 prot_Q6CDI5[c] => 2-acetyllactic acid[m] + carbon dioxide[m]
496	glycerol-3-phosphate/dihydroxyacetone phosphate acyltransferase	0.261543790808477	YALI0C00209g	acyl-CoA[lp] + glycerol 3-phosphate[lp] + 10.9063 prot_Q6CDI7[c] => coenzyme A[lp] + 1-acyl-sn-glycerol 3-phosphate_ActiveX VT_ERROR:[lp]
9u_EXP_3	1-acyl-sn-gylcerol-3-phosphate acyltransferase	0.261543790808477	YALI0D17534g	acyl-CoA[lp] + 1-acyl-sn-glycerol 3-phosphate_ActiveX VT_ERROR:[lp] + 0.001346 prot_Q6C8R8[c] => phosphatidate_ActiveX VT_ERROR:[lp] + coenzyme A[lp]
800	nucleoside diphosphate kinase	0.253991203585875	YALI0F09229g	ATP[c] + GDP[c] + 0.0022864 prot_Q6C2B5[c] => ADP[c] + GTP[c]
215	aspartate kinase	0.246937838930915	YALI0D11704g	ATP[c] + L-aspartate[c] + 0.067028 prot_Q6C9F1[c] => ADP[c] + 4-phospho-L-aspartate[c]
219	aspartate-semialdehyde dehydrogenase	0.246937838930915	YALI0D13596g	H+_p+1[c] + 4-phospho-L-aspartate[c] + NADPH[c] + 1.504 prot_Q6C968[c] => L-aspartate 4-semialdehyde[c] + phosphate[c] + NADP(+)[c]
547	homoserine dehydrogenase (NADP)	0.246937838930915	YALI0D01089g	H+_p+1[c] + L-aspartate 4-semialdehyde[c] + NADPH[c] + 0.29756 prot_Q6CAP2[c] => NADP(+)[c] + L-homoserine[c]
156	alanine glyoxylate aminotransferase	0.241099362142795	YALI0E16643g	L-alanine[c] + glyoxylate[c] + 0.086694 prot_Q6C5N1[c] => pyruvate[c] + L-glycine[c]
662_EXP_1	isocitrate lyase	0.241099362142795	YALI0C16885g	isocitrate[c] + 1.4322 prot_P41555[c] => glyoxylate[c] + succinate[c]
1041	threonine synthase	0.228385338688851	YALI0F23221g	H2O[c] + O-phospho-L-homoserine[c] + 0.003794 prot_Q6C0N3[c] => phosphate[c] + L-threonine[c]
548	homoserine kinase	0.228385338688851	YALI0F13453g	ATP[c] + L-homoserine[c] + 0.26002 prot_Q6C1T8[c] => H+_p+1[c] + ADP[c] + O-phospho-L-homoserine[c]
