gene_IDs	gene_names	slope	action	essentiality	rxnNames	rxnIDs
YALI0B20438g	YALI0B20438g	1.01527435615643	KD	essential	phosphoserine phosphatase (L-serine)	917
YALI0F06468g	YALI0F06468g	1.01527435615643	KD	essential	phosphoserine transaminase	918
YALI0F09966g	YALI0F09966g	1.01527435615643	KD	essential	phosphoglycerate dehydrogenase	891
YALI0B00704g	YALI0B00704g	0.99333494485432	KD	essential	adenylate kinase	148
YALI0C06776g	YALI0C06776g	0.854363164578879	KD	essential	fumarase; fumarase, cytoplasmic	451; 452
YALI0E18634g	YALI0E18634g	0.794802732407386	KD		malic enzyme (NAD); malic enzyme (NADP)	718; 719
YALI0F04095g	YALI0F04095g	0.794802732407386	KD		isocitrate dehydrogenase; isocitrate dehydrogenase (NADP); isocitrate dehydrogenase (NADP+), peroxisomal	2131; 659; 661
YALI0D22484g	YALI0D22484g	0.583719873290376	KD		glycine hydroxymethyltransferase	502; 503
YALI0E16346g	YALI0E16346g	0.583719873290376	KD		glycine hydroxymethyltransferase	502; 503
YALI0E34672g	YALI0E34672g	0.536796803041786	KD		succinate-fumarate transport	1265
YALI0C23408g	YALI0C23408g	0.500383822440948	KD	essential	dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate); dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylpentanoate)	352; 353
YALI0D03135g	YALI0D03135g	0.500383822440948	KD	essential	ketol-acid reductoisomerase (2-aceto-2-hydroxybutanoate); acetohydroxy acid isomeroreductase	669; 96
YALI0E01056g	YALI0E01056g	0.421766723135975	KD		formate-tetrahydrofolate ligase; methenyltetrahydrifikate cyclohydrolase; methenyltetrahydrofolate cyclohydrolase; methylenetetrahydrofolate dehydrogenase (NADP)	446; 447; 724; 725; 732; 733
YALI0F30745g	YALI0F30745g	0.421766723135975	KD		formate-tetrahydrofolate ligase; methenyltetrahydrifikate cyclohydrolase; methenyltetrahydrofolate cyclohydrolase; methylenetetrahydrofolate dehydrogenase (NADP)	446; 447; 724; 725; 732; 733
